region,year,population-weighted pm2.5 [ug/m3],geographic-mean pm2.5 [ug/m3],population coverage [%],geographic coverage [%],total population [million people],% pop >= 5 ug/m3 [%],% pop >= 10 ug/m3 [%],% pop >= 15 ug/m3 [%],% pop >= 25 ug/m3 [%],% pop >= 30 ug/m3 [%],% pop >= 35 ug/m3 [%],% pop >= 40 ug/m3 [%],% pop >= 45 ug/m3 [%],% pop >= 50 ug/m3 [%],% pop >= 55 ug/m3 [%],% pop >= 60 ug/m3 [%]
Andaman and Nicobar,1998,14.7,13.9,99.5,98.7,0.331,100.0,93.6,54.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,1999,14.9,14.6,99.5,98.7,0.331,100.0,98.9,56.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2000,15.1,14.6,99.5,98.7,0.331,100.0,100.0,62.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2001,16.4,15.7,99.5,98.7,0.333,100.0,99.5,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2002,17.0,16.2,99.5,98.7,0.336,100.0,98.2,84.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2003,17.1,16.4,99.5,98.7,0.338,100.0,100.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2004,19.9,18.8,99.5,98.7,0.34,100.0,100.0,95.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2005,16.9,16.0,99.5,98.7,0.343,100.0,98.3,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2006,19.1,17.9,99.5,98.7,0.344,100.0,99.7,89.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2007,18.1,17.3,99.5,98.7,0.346,100.0,99.7,87.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2008,18.2,17.2,99.5,98.7,0.348,100.0,99.0,91.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2009,20.3,19.1,99.5,98.7,0.349,100.0,99.0,90.7,1.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2010,18.5,17.6,99.5,98.7,0.351,100.0,99.4,92.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2011,17.9,17.0,99.5,98.7,0.352,100.0,99.6,87.8,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2012,18.8,17.7,99.5,98.7,0.353,100.0,99.7,90.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2013,19.2,18.3,99.5,98.7,0.354,100.0,100.0,95.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2014,21.5,20.5,99.5,98.7,0.355,100.0,100.0,93.5,12.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2015,17.9,17.2,99.6,98.7,0.356,100.0,100.0,87.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2016,19.7,18.5,99.6,98.7,0.357,100.0,100.0,93.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2017,17.0,15.9,99.6,98.7,0.358,100.0,98.6,86.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2018,19.9,18.6,99.6,98.7,0.359,100.0,99.2,91.4,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2019,19.2,18.1,99.6,98.7,0.359,100.0,100.0,91.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2020,18.2,17.1,99.6,98.7,0.36,100.0,99.9,91.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2021,16.9,15.7,99.6,98.7,0.36,100.0,97.1,88.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2022,15.2,14.4,99.6,98.7,0.36,100.0,98.1,64.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andaman and Nicobar,2023,17.5,16.6,99.6,98.7,0.36,100.0,100.0,89.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,1998,15.9,15.2,99.9,99.9,46.644,100.0,99.2,69.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,1999,18.2,17.4,99.9,99.9,46.644,100.0,100.0,87.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2000,20.9,20.6,99.9,99.9,46.644,100.0,100.0,100.0,3.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2001,21.9,21.9,99.9,99.9,47.09,100.0,100.0,100.0,6.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2002,21.9,21.6,99.9,99.9,47.535,100.0,100.0,100.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2003,22.3,21.9,99.9,99.9,47.981,100.0,100.0,100.0,5.9,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2004,23.2,22.6,99.9,99.9,48.427,100.0,100.0,100.0,27.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2005,25.6,25.1,99.9,99.9,48.872,100.0,100.0,100.0,61.4,4.1,0.1,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2006,26.7,25.6,99.9,99.9,49.229,100.0,100.0,100.0,74.4,15.9,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2007,27.8,26.8,99.9,99.9,49.585,100.0,100.0,100.0,86.0,23.0,0.2,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2008,29.9,28.6,99.9,99.9,49.942,100.0,100.0,100.0,92.5,45.2,7.8,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2009,30.7,29.4,99.9,99.9,50.298,100.0,100.0,100.0,95.5,57.2,8.5,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2010,27.8,27.1,99.9,99.9,50.655,100.0,100.0,100.0,89.3,17.7,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2011,29.6,28.1,99.9,99.9,50.908,100.0,100.0,100.0,89.9,41.9,8.5,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2012,27.9,26.5,99.9,99.9,51.162,100.0,100.0,100.0,82.1,30.3,0.2,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2013,28.2,26.8,99.9,99.9,51.415,100.0,100.0,100.0,84.2,31.6,0.7,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2014,31.9,30.1,99.9,99.9,51.669,100.0,100.0,100.0,93.8,69.7,26.9,0.3,0.0,0.0,0.0,0.0
Andhra Pradesh,2015,29.0,27.6,99.9,99.9,51.922,100.0,100.0,100.0,87.7,41.0,2.7,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2016,29.8,28.3,99.9,99.9,52.113,100.0,100.0,100.0,90.2,45.3,10.5,0.1,0.0,0.0,0.0,0.0
Andhra Pradesh,2017,32.5,30.5,99.9,99.9,52.304,100.0,100.0,100.0,94.6,73.2,32.6,1.1,0.0,0.0,0.0,0.0
Andhra Pradesh,2018,32.7,30.9,99.9,99.9,52.494,100.0,100.0,100.0,96.8,72.2,33.7,3.7,0.0,0.0,0.0,0.0
Andhra Pradesh,2019,29.7,28.1,99.9,99.9,52.685,100.0,100.0,100.0,88.6,45.2,9.2,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2020,28.1,26.4,99.9,99.9,52.876,100.0,100.0,100.0,80.4,32.2,0.9,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2021,29.3,27.9,99.9,99.9,52.876,100.0,100.0,100.0,87.3,41.5,5.4,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2022,26.9,25.7,99.9,99.9,52.876,100.0,100.0,100.0,75.8,15.2,0.0,0.0,0.0,0.0,0.0,0.0
Andhra Pradesh,2023,29.6,27.8,99.9,99.9,52.876,100.0,100.0,100.0,83.8,45.0,13.8,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,1998,10.2,7.8,100.0,100.0,1.17,99.4,39.8,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,1999,12.2,9.7,100.0,100.0,1.17,100.0,75.8,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2000,12.6,10.1,100.0,100.0,1.17,100.0,74.3,21.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2001,13.4,11.4,100.0,100.0,1.198,100.0,84.9,30.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2002,12.0,10.3,100.0,100.0,1.225,100.0,68.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2003,13.0,10.7,100.0,100.0,1.252,100.0,77.7,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2004,13.0,10.6,100.0,100.0,1.28,99.9,77.6,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2005,14.0,11.6,100.0,100.0,1.307,100.0,88.9,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2006,15.3,12.5,100.0,100.0,1.336,100.0,93.6,48.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2007,14.8,12.1,100.0,100.0,1.366,100.0,93.0,42.5,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2008,14.5,12.0,100.0,100.0,1.395,100.0,91.5,43.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2009,18.1,15.2,100.0,100.0,1.424,100.0,99.2,67.3,10.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2010,14.5,11.9,100.0,100.0,1.453,100.0,88.2,43.9,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2011,15.0,12.3,100.0,100.0,1.485,100.0,93.0,46.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2012,18.5,16.0,100.0,100.0,1.516,100.0,99.7,73.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2013,15.6,13.4,100.0,100.0,1.548,100.0,98.8,52.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2014,16.7,14.5,100.0,100.0,1.579,100.0,98.9,63.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2015,15.2,12.8,100.0,100.0,1.611,100.0,94.8,47.4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2016,15.8,13.7,100.0,100.0,1.647,100.0,98.1,52.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2017,15.3,12.9,100.0,100.0,1.682,100.0,96.8,47.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2018,18.0,15.0,100.0,100.0,1.718,100.0,99.3,70.6,7.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2019,16.7,14.5,100.0,100.0,1.754,100.0,99.7,66.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2020,16.0,13.3,100.0,100.0,1.789,100.0,97.9,54.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2021,17.3,14.5,100.0,100.0,1.789,100.0,99.5,66.6,5.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2022,13.2,11.0,100.0,100.0,1.789,100.0,85.7,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arunachal Pradesh,2023,14.4,12.4,100.0,100.0,1.789,100.0,95.7,37.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Assam,1998,21.2,20.1,100.0,99.9,26.92,100.0,100.0,90.1,22.7,6.8,0.6,0.0,0.0,0.0,0.0,0.0
Assam,1999,22.8,21.7,100.0,99.9,26.92,100.0,100.0,95.9,35.9,10.9,1.0,0.0,0.0,0.0,0.0,0.0
Assam,2000,25.5,24.2,100.0,99.9,26.92,100.0,100.0,99.0,52.1,20.4,7.7,0.4,0.0,0.0,0.0,0.0
Assam,2001,26.7,25.2,100.0,99.9,27.373,100.0,100.0,99.0,60.1,23.8,12.0,4.4,0.1,0.0,0.0,0.0
Assam,2002,25.4,24.0,100.0,99.9,27.827,100.0,99.9,96.5,48.8,21.7,10.5,1.4,0.1,0.0,0.0,0.0
Assam,2003,28.0,26.3,100.0,99.9,28.28,100.0,100.0,99.2,64.5,37.2,16.4,8.0,0.3,0.0,0.0,0.0
Assam,2004,28.6,27.0,100.0,99.9,28.734,100.0,100.0,99.5,71.4,34.3,15.7,8.5,1.5,0.0,0.0,0.0
Assam,2005,29.3,27.5,100.0,99.9,29.187,100.0,100.0,99.7,74.4,39.8,19.7,10.1,0.6,0.0,0.0,0.0
Assam,2006,33.6,31.6,100.0,99.9,29.612,100.0,100.0,99.9,85.3,68.8,40.1,20.8,9.4,1.8,0.1,0.0
Assam,2007,31.9,30.1,100.0,99.9,30.036,100.0,100.0,99.8,83.1,61.8,28.7,13.1,7.0,0.2,0.0,0.0
Assam,2008,31.2,29.2,100.0,99.9,30.46,100.0,100.0,99.8,78.7,53.0,26.8,13.1,6.2,0.2,0.0,0.0
Assam,2009,37.7,35.8,100.0,99.9,30.885,100.0,100.0,99.9,93.6,80.8,63.4,35.8,16.3,10.1,4.0,0.2
Assam,2010,34.1,31.4,100.0,99.9,31.309,100.0,100.0,99.7,82.0,67.3,44.6,22.7,12.5,6.8,1.0,0.0
Assam,2011,33.6,31.3,100.0,99.9,31.692,100.0,100.0,99.8,84.3,66.6,39.3,19.5,10.4,4.5,0.0,0.0
Assam,2012,38.7,36.4,100.0,99.9,32.075,100.0,100.0,99.9,93.2,80.2,65.8,41.4,24.2,13.8,6.2,0.2
Assam,2013,34.0,31.6,100.0,99.9,32.457,100.0,100.0,99.9,85.1,69.1,41.3,21.7,11.7,4.2,0.1,0.0
Assam,2014,35.3,32.8,100.0,99.9,32.84,100.0,100.0,99.9,88.3,72.2,51.5,26.3,13.7,7.0,0.5,0.1
Assam,2015,33.5,31.2,100.0,99.9,33.222,100.0,100.0,99.8,84.1,67.8,41.1,20.9,9.6,0.8,0.1,0.0
Assam,2016,32.3,30.0,100.0,99.9,33.584,100.0,100.0,99.9,83.7,61.7,31.4,15.9,6.3,0.4,0.1,0.0
Assam,2017,34.1,31.6,100.0,99.9,33.945,100.0,100.0,99.9,84.8,67.3,43.3,22.5,12.9,6.3,0.4,0.1
Assam,2018,39.5,36.7,100.0,99.9,34.307,100.0,100.0,100.0,93.1,83.8,68.8,47.5,24.8,12.9,8.3,2.0
Assam,2019,34.7,32.2,100.0,99.9,34.668,100.0,100.0,100.0,87.3,70.3,44.7,24.3,13.4,7.8,0.7,0.0
Assam,2020,36.3,33.6,100.0,99.9,35.03,100.0,100.0,99.9,88.2,73.9,55.2,33.4,16.0,9.6,2.3,0.1
Assam,2021,37.5,35.1,100.0,99.9,35.03,100.0,100.0,100.0,92.4,79.9,58.3,37.5,19.9,9.5,1.9,0.2
Assam,2022,27.8,25.9,100.0,99.9,35.03,100.0,100.0,99.6,61.8,32.4,15.0,7.9,0.9,0.0,0.0,0.0
Assam,2023,30.0,27.9,100.0,99.9,35.03,100.0,100.0,99.8,71.4,45.2,24.8,11.9,6.5,0.1,0.0,0.0
Bihar,1998,47.0,44.9,100.0,100.0,84.765,100.0,100.0,100.0,99.7,99.3,96.8,89.2,68.0,33.6,4.7,0.0
Bihar,1999,47.8,45.7,100.0,100.0,84.765,100.0,100.0,100.0,99.8,99.5,97.4,90.2,69.6,40.5,9.9,0.0
Bihar,2000,54.0,51.5,100.0,100.0,84.765,100.0,100.0,100.0,99.9,99.7,99.4,96.8,86.8,67.9,49.0,25.3
Bihar,2001,60.8,57.8,100.0,100.0,86.839,100.0,100.0,100.0,100.0,99.9,99.6,98.5,94.5,86.4,72.2,55.3
Bihar,2002,57.5,55.1,100.0,100.0,88.914,100.0,100.0,100.0,100.0,99.9,99.7,98.8,94.8,81.8,63.8,42.1
Bihar,2003,59.3,56.8,100.0,100.0,90.988,100.0,100.0,100.0,100.0,100.0,99.8,99.3,96.4,87.7,69.6,47.2
Bihar,2004,60.0,57.5,100.0,100.0,93.063,100.0,100.0,100.0,100.0,100.0,99.9,99.4,96.9,86.8,70.3,51.3
Bihar,2005,59.0,56.1,100.0,100.0,95.137,100.0,100.0,100.0,100.0,99.9,99.6,97.8,93.7,83.5,65.9,47.8
Bihar,2006,67.5,64.3,100.0,100.0,97.233,100.0,100.0,100.0,100.0,99.9,99.7,99.4,97.8,93.3,84.8,75.8
Bihar,2007,68.3,65.1,100.0,100.0,99.328,100.0,100.0,100.0,100.0,100.0,99.8,99.5,98.5,95.5,87.6,76.1
Bihar,2008,72.5,69.6,100.0,100.0,101.423,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.7,98.9,96.4,88.9
Bihar,2009,76.0,72.5,100.0,100.0,103.518,100.0,100.0,100.0,100.0,100.0,99.9,99.7,99.4,98.7,96.1,89.8
Bihar,2010,70.9,67.5,100.0,100.0,105.613,100.0,100.0,100.0,100.0,100.0,99.8,99.5,98.8,97.5,92.9,83.5
Bihar,2011,78.2,74.7,100.0,100.0,107.678,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8,99.5,97.8,94.6
Bihar,2012,81.9,77.5,100.0,100.0,109.742,100.0,100.0,100.0,100.0,100.0,99.9,99.7,99.6,98.9,97.4,93.3
Bihar,2013,78.1,74.1,100.0,100.0,111.806,100.0,100.0,100.0,100.0,100.0,100.0,99.8,99.6,98.8,96.5,92.1
Bihar,2014,79.0,74.7,100.0,100.0,113.871,100.0,100.0,100.0,100.0,100.0,99.9,99.7,99.5,98.7,96.7,92.8
Bihar,2015,77.5,74.0,100.0,100.0,115.935,100.0,100.0,100.0,100.0,100.0,100.0,99.8,99.7,99.3,97.2,92.7
Bihar,2016,84.9,80.7,100.0,100.0,118.033,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.4,97.9,95.9
Bihar,2017,82.2,78.2,100.0,100.0,120.131,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.7,99.5,98.3,95.4
Bihar,2018,87.4,82.8,100.0,100.0,122.229,100.0,100.0,100.0,100.0,100.0,100.0,99.8,99.7,99.5,98.7,96.8
Bihar,2019,76.7,73.1,100.0,100.0,124.327,100.0,100.0,100.0,100.0,100.0,100.0,99.8,99.7,99.3,97.5,93.7
Bihar,2020,69.0,66.2,100.0,100.0,126.426,100.0,100.0,100.0,100.0,100.0,99.9,99.7,99.5,97.9,93.6,84.6
Bihar,2021,72.5,69.4,100.0,100.0,126.426,100.0,100.0,100.0,100.0,100.0,100.0,99.8,99.6,98.6,95.2,89.2
Bihar,2022,72.1,68.5,100.0,100.0,126.426,100.0,100.0,100.0,100.0,100.0,99.8,99.7,99.1,96.9,93.3,85.2
Bihar,2023,66.9,63.9,100.0,100.0,126.426,100.0,100.0,100.0,100.0,99.9,99.8,99.6,98.4,95.2,89.7,78.3
Chandigarh,1998,26.2,26.1,100.0,100.0,0.623,100.0,100.0,100.0,80.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,1999,26.3,26.2,100.0,100.0,0.623,100.0,100.0,100.0,83.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,2000,32.7,32.7,100.0,100.0,0.623,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,2001,35.4,35.3,100.0,100.0,0.634,100.0,100.0,100.0,100.0,100.0,62.1,0.0,0.0,0.0,0.0,0.0
Chandigarh,2002,35.8,35.7,100.0,100.0,0.644,100.0,100.0,100.0,100.0,100.0,78.0,0.0,0.0,0.0,0.0,0.0
Chandigarh,2003,38.3,38.2,100.0,100.0,0.655,100.0,100.0,100.0,100.0,100.0,100.0,4.7,0.0,0.0,0.0,0.0
Chandigarh,2004,40.0,39.9,100.0,100.0,0.666,100.0,100.0,100.0,100.0,100.0,100.0,47.8,0.0,0.0,0.0,0.0
Chandigarh,2005,37.4,37.3,100.0,100.0,0.676,100.0,100.0,100.0,100.0,100.0,100.0,0.9,0.0,0.0,0.0,0.0
Chandigarh,2006,37.6,37.5,100.0,100.0,0.686,100.0,100.0,100.0,100.0,100.0,100.0,0.9,0.0,0.0,0.0,0.0
Chandigarh,2007,38.7,38.6,100.0,100.0,0.696,100.0,100.0,100.0,100.0,100.0,100.0,16.9,0.0,0.0,0.0,0.0
Chandigarh,2008,43.9,43.8,100.0,100.0,0.706,100.0,100.0,100.0,100.0,100.0,100.0,100.0,22.6,0.0,0.0,0.0
Chandigarh,2009,42.5,42.4,100.0,100.0,0.716,100.0,100.0,100.0,100.0,100.0,100.0,98.8,4.7,0.0,0.0,0.0
Chandigarh,2010,47.8,47.7,100.0,100.0,0.726,100.0,100.0,100.0,100.0,100.0,100.0,100.0,96.9,14.2,0.0,0.0
Chandigarh,2011,48.2,48.1,100.0,100.0,0.735,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.1,22.7,0.0,0.0
Chandigarh,2012,47.8,47.7,100.0,100.0,0.744,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,19.0,0.0,0.0
Chandigarh,2013,48.9,48.8,100.0,100.0,0.753,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,28.4,0.9,0.0
Chandigarh,2014,47.6,47.4,100.0,100.0,0.762,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.0,15.2,0.0,0.0
Chandigarh,2015,49.7,49.6,100.0,100.0,0.771,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,43.2,0.9,0.0
Chandigarh,2016,54.8,54.7,100.0,100.0,0.779,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.1,45.9,0.9
Chandigarh,2017,53.6,53.5,100.0,100.0,0.787,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,97.8,28.0,0.9
Chandigarh,2018,52.7,52.6,100.0,100.0,0.796,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.7,12.1,0.0
Chandigarh,2019,49.6,49.5,100.0,100.0,0.804,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44.0,0.0,0.0
Chandigarh,2020,47.0,47.0,100.0,100.0,0.812,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.9,6.4,0.0,0.0
